no,match_id,leagueid,key,value,data_year
139729,5554254091,12116,xd,1,2020
154795,5611247975,11863,hf,1,2020
169724,5665471452,12532,g,1,2020
152403,5594424048,12245,its,1,2020
161875,5637327839,12382,sry,1,2020
194012,5732626750,12508,is,1,2020
109568,5466499756,12003,j,1,2020
196370,5737620642,12567,owaqt,1,2020
123371,5499814348,12096,vpn,1,2020
150302,5586893256,12320,win,1,2020
100884,5451422445,11263,gg,1,2020
122049,5494220286,11382,ggg,1,2020
118312,5480927986,12093,эт,1,2020
199448,5742885819,11863,good,1,2020
152692,5595116941,12245,g,2,2020
195115,5736120097,11912,oq,1,2020
177210,5683503307,12532,spirit,1,2020
182086,5697091806,12496,xd,1,2020
102562,5456519199,11828,dddddd,1,2020
192786,5724490824,12616,the,1,2020
147720,5578804444,12245,g,1,2020
190575,5716582084,11170,мужики,1,2020
163803,5645645064,12447,gl,1,2020
151926,5591376441,12169,sopa,1,2020
112809,5470623242,12101,hg,2,2020
109970,5466982903,11602,emg,1,2020
195947,5737302457,11912,kkkkkk,1,2020
155260,5613413024,11863,gg,1,2020
134733,5540339855,12227,gwr,1,2020
124079,5501365947,12170,please,1,2020
136164,5543361437,12239,hf,1,2020
140483,5556880514,12245,g,2,2020
143515,5567018979,12270,button,1,2020
169265,5663069697,12295,gg,4,2020
170103,5666353791,12214,have,1,2020
149650,5585434625,12205,gwr,2,2020
145579,5572295408,12229,pause,1,2020
169293,5663136642,12295,no,2,2020
115020,5473699698,12113,hfhf,1,2020
177510,5684502140,12532,xdxd,1,2020
131024,5523371192,12069,hahahaha,1,2020
196099,5737363082,12610,my,1,2020
177868,5685462585,12214,loser,1,2020
149872,5585759162,12320,pro,2,2020
146993,5576933465,12245,gg,7,2020
162571,5640624980,12454,pa,1,2020
119752,5485608460,11249,gg,1,2020
197117,5739035950,12620,gg,2,2020
199776,5743407587,12616,stealing,1,2020
189423,5711963096,12577,juga,1,2020
154677,5610855062,12205,am,1,2020
155986,5615866331,11194,tunggu,1,2020
130814,5522123338,12183,go,1,2020
141744,5560627880,12116,quedan,1,2020
173293,5672691670,12464,glhf,1,2020
179096,5688682793,12532,packet,2,2020
160959,5633027253,11863,go,1,2020
193214,5728007616,12567,gg,1,2020
198051,5740834388,12093,ты,2,2020
195184,5736157067,11912,parece,1,2020
100741,5451274221,12003,pag,1,2020
154861,5611433128,12173,rip,2,2020
126162,5506851605,11914,same,2,2020
149742,5585544621,12320,sec,3,2020
194848,5735248975,11863,djardellll,1,2020
148246,5580903885,12229,think,1,2020
178159,5686998814,12496,go,1,2020
129585,5518492493,11668,g,3,2020
194568,5734871146,11912,adr,1,2020
142896,5565214937,12229,clases,1,2020
166519,5652691834,12093,пикай,3,2020
163531,5645339407,12295,gg,2,2020
157371,5621696651,11863,ok,2,2020
146570,5575898169,12245,sadge,1,2020
114636,5473413238,12145,bes,1,2020
120569,5488551945,12069,lag,1,2020
142366,5563501495,12229,r,1,2020
166718,5653142227,12436,barking,2,2020
100699,5451272845,12005,gg,1,2020
198190,5741413109,11912,certo,1,2020
160008,5628619122,12386,gg,1,2020
133591,5536368195,12239,hf,1,2020
154319,5607668224,11863,here,1,2020
186374,5704655380,12567,o,1,2020
154026,5602929770,12093,реди,1,2020
109289,5465776667,12101,gg,2,2020
177439,5684460287,12532,items,1,2020
141663,5560390811,12229,the,1,2020
115619,5475645752,11863,gg,3,2020
178011,5686129205,12513,gg,1,2020
159908,5628364643,11863,minute,1,2020
124686,5503139240,12093,ебанутый,1,2020
161369,5634268654,12295,xd,1,2020
180601,5692948068,12548,raindrops,2,2020
174573,5676294966,12532,gl,1,2020
196036,5737311021,11863,your,1,2020
139048,5552659677,12116,lights,1,2020
105015,5460084219,12003,kausapin,1,2020
114619,5473383310,11961,ggwp,1,2020
189141,5711875659,12093,бм,3,2020
190757,5717651850,12548,gg,5,2020
117892,5480799347,12093,потом,1,2020
147231,5577464901,12116,cmtar,1,2020
189526,5711963096,12577,pada,2,2020
101810,5454739970,12003,seryoso,1,2020
123020,5499118975,10650,come,1,2020
164301,5647211517,12447,зппщзпщ,1,2020
182590,5698266674,10650,gan,1,2020
100220,5447222283,12027,pink,1,2020
124390,5502712394,12096,headset,1,2020
129983,5519063277,12214,bud,1,2020
124378,5502678439,12170,thats,1,2020
142310,5563064748,12230,gwr,1,2020
165257,5650547948,12031,g,3,2020
116812,5478242190,12101,fun,1,2020
135664,5541471255,12227,maybe,1,2020
162869,5642312407,12326,kona,1,2020
155990,5615866331,11194,warden,1,2020
120306,5487444232,11439,fuck,1,2020
118738,5482111664,12113,ecnart,1,2020
118620,5481879987,11961,else,1,2020
168907,5662195789,12093,reconnect,1,2020
100518,5449892977,11782,kub,2,2020
169471,5664422814,12205,time,3,2020
170743,5668139478,12532,july,1,2020
131683,5525631958,11249,gg,2,2020
