no,is_pick,hero_id,team,order,ord,match_id,leagueid,data_year
122957,False,79.0,1.0,0.0,0.0,5349733353,11863,2020
145765,False,121.0,0.0,13.0,13.0,5374015936,11928,2020
151056,False,98.0,0.0,2.0,2.0,5379786893,11887,2020
140242,False,110.0,0.0,4.0,4.0,5366948384,11863,2020
164265,False,46.0,1.0,6.0,6.0,5393688803,11792,2020
102107,False,41.0,1.0,4.0,4.0,5322880377,11382,2020
198742,True,8.0,0.0,16.0,16.0,5423276092,11914,2020
195704,False,77.0,0.0,2.0,2.0,5420405431,11973,2020
122625,True,121.0,1.0,20.0,20.0,5348965919,11823,2020
109975,False,126.0,0.0,3.0,3.0,5334115111,11829,2020
173117,False,121.0,0.0,5.0,5.0,5403499971,11464,2020
168879,False,100.0,1.0,12.0,12.0,5398865840,11831,2020
133740,False,43.0,1.0,1.0,1.0,5361716330,11877,2020
181255,True,53.0,1.0,16.0,16.0,5409205188,11953,2020
113876,False,53.0,0.0,1.0,1.0,5338037487,11823,2020
161219,True,54.0,0.0,17.0,17.0,5390204666,11831,2020
155202,False,13.0,0.0,3.0,3.0,5383876643,11792,2020
145769,True,39.0,1.0,17.0,17.0,5374015936,11928,2020
296275,True,51.0,1.0,5.0,5.0,5528659057,12116,2020
222712,False,15.0,0.0,13.0,13.0,5447476888,11382,2020
231942,True,102.0,0.0,15.0,15.0,5458915810,12093,2020
287283,True,69.0,0.0,7.0,7.0,5516297915,11510,2020
213342,False,95.0,0.0,12.0,12.0,5437852913,12027,2020
291812,True,38.0,0.0,17.0,17.0,5521536215,11510,2020
284358,True,13.0,1.0,5.0,5.0,5512059513,12116,2020
293377,False,109.0,1.0,11.0,11.0,5523728979,11510,2020
299636,True,105.0,0.0,7.0,7.0,5532796175,12139,2020
281536,True,33.0,1.0,4.0,4.0,5509393087,11263,2020
242728,False,108.0,1.0,18.0,18.0,5469018482,12005,2020
271273,False,109.0,1.0,9.0,9.0,5500130360,11382,2020
254304,True,12.0,0.0,16.0,16.0,5478792366,11863,2020
291355,True,5.0,1.0,16.0,16.0,5521205905,11249,2020
201249,False,120.0,1.0,5.0,5.0,5425665025,11898,2020
258497,True,79.0,1.0,8.0,8.0,5483001521,12139,2020
222096,False,33.0,0.0,13.0,13.0,5446591207,12027,2020
232906,False,66.0,1.0,1.0,1.0,5460407404,12113,2020
247040,True,72.0,1.0,20.0,20.0,5472996277,11863,2020
291207,False,109.0,1.0,12.0,12.0,5521103206,12160,2020
244077,False,101.0,0.0,3.0,3.0,5470573843,12093,2020
231048,False,20.0,0.0,1.0,1.0,5458435103,12027,2020
224191,True,111.0,0.0,9.0,9.0,5450379602,12027,2020
211968,False,65.0,1.0,13.0,13.0,5436574901,11999,2020
210443,False,111.0,0.0,6.0,6.0,5434928866,12027,2020
241072,False,98.0,0.0,12.0,12.0,5467623680,11647,2020
275565,True,3.0,1.0,6.0,6.0,5504242611,12160,2020
230537,False,89.0,0.0,18.0,18.0,5458146682,11382,2020
285719,True,129.0,0.0,22.0,22.0,5513576417,12116,2020
260710,False,112.0,0.0,0.0,0.0,5484854968,11439,2020
222545,False,49.0,1.0,0.0,0.0,5447151947,12027,2020
212829,False,38.0,1.0,4.0,4.0,5437235502,12027,2020
232106,False,32.0,0.0,3.0,3.0,5459258968,12093,2020
240830,False,12.0,1.0,12.0,12.0,5467273406,12098,2020
267926,False,100.0,1.0,21.0,21.0,5495724403,12069,2020
206602,False,85.0,0.0,13.0,13.0,5430407952,11973,2020
200592,False,106.0,0.0,7.0,7.0,5425051645,11914,2020
210415,False,129.0,0.0,0.0,0.0,5434923969,12098,2020
266996,False,20.0,0.0,3.0,3.0,5494297555,12182,2020
225913,False,106.0,0.0,5.0,5.0,5452764046,11889,2020
285207,True,129.0,0.0,14.0,14.0,5512492557,12139,2020
296808,False,67.0,0.0,10.0,10.0,5529277872,12139,2020
241561,True,93.0,0.0,17.0,17.0,5468365860,12005,2020
230532,False,38.0,0.0,13.0,13.0,5458146682,11382,2020
274902,False,129.0,1.0,2.0,2.0,5503962240,12182,2020
299060,True,43.0,1.0,7.0,7.0,5532348706,12116,2020
267290,False,41.0,1.0,9.0,9.0,5494571133,12139,2020
236354,False,2.0,1.0,13.0,13.0,5463690566,12101,2020
232751,False,28.0,1.0,0.0,0.0,5460309609,11263,2020
215927,False,61.0,0.0,19.0,19.0,5440387402,11796,2020
240839,True,47.0,0.0,21.0,21.0,5467273406,12098,2020
226413,True,98.0,0.0,21.0,21.0,5453154493,11828,2020
228215,False,16.0,1.0,6.0,6.0,5455010766,11263,2020
208354,False,22.0,0.0,5.0,5.0,5432453912,11668,2020
256603,False,39.0,1.0,5.0,5.0,5481473816,11863,2020
275686,True,51.0,1.0,7.0,7.0,5504299860,12203,2020
254614,False,2.0,1.0,18.0,18.0,5479142991,11602,2020
220321,False,58.0,0.0,7.0,7.0,5444494373,12027,2020
278323,True,126.0,0.0,5.0,5.0,5506536456,12096,2020
299860,True,86.0,1.0,15.0,15.0,5532928196,12170,2020
215014,False,70.0,0.0,18.0,18.0,5439665479,11964,2020
278404,True,15.0,1.0,15.0,15.0,5506581202,11263,2020
203328,True,10.0,0.0,17.0,17.0,5427345459,12003,2020
212606,False,106.0,1.0,1.0,1.0,5436969533,12027,2020
299982,True,1.0,0.0,17.0,17.0,5533010898,12139,2020
264874,True,111.0,1.0,9.0,9.0,5489995226,12139,2020
264961,True,20.0,1.0,8.0,8.0,5490060845,12113,2020
281419,True,65.0,1.0,7.0,7.0,5509288137,12096,2020
208146,True,44.0,1.0,17.0,17.0,5432242170,11973,2020
291711,False,40.0,0.0,12.0,12.0,5521466923,12069,2020
223986,False,79.0,1.0,2.0,2.0,5449956482,11263,2020
255337,True,101.0,1.0,15.0,15.0,5480264154,12069,2020
290328,False,79.0,1.0,20.0,20.0,5519373567,11249,2020
289887,False,95.0,0.0,11.0,11.0,5519013415,11510,2020
207790,False,12.0,0.0,13.0,13.0,5431442424,11796,2020
277869,True,64.0,0.0,6.0,6.0,5506216955,12169,2020
239729,False,98.0,1.0,2.0,2.0,5466514121,11863,2020
254795,False,65.0,0.0,1.0,1.0,5479284451,12113,2020
269724,False,45.0,0.0,19.0,19.0,5498334181,11263,2020
252403,False,95.0,1.0,6.0,6.0,5477314941,11863,2020
261875,False,106.0,0.0,0.0,0.0,5486049163,11439,2020
294012,True,54.0,0.0,22.0,22.0,5524505419,12093,2020
209568,True,79.0,0.0,11.0,11.0,5434303738,11964,2020
296370,True,126.0,1.0,4.0,4.0,5528787218,12183,2020
223371,False,80.0,0.0,3.0,3.0,5449409755,11382,2020
250302,False,106.0,0.0,5.0,5.0,5475830034,12139,2020
200884,False,13.0,0.0,13.0,13.0,5425511001,11973,2020
222049,True,56.0,1.0,10.0,10.0,5446574023,12027,2020
218312,True,7.0,0.0,8.0,8.0,5442469396,12027,2020
299448,False,52.0,0.0,11.0,11.0,5532645532,11668,2020
252692,True,39.0,1.0,9.0,9.0,5477426308,11863,2020
