no,order,pick,active_team,hero_id,player_slot,extra_time,total_time_taken,match_id,leagueid,data_year
89526,3.0,True,2.0,38.0,3.0,-600.0,35.0,5304705598,11591,2020
1810,10.0,True,3.0,3.0,6.0,130.0,15.0,5182763459,11249,2020
23020,5.0,False,2.0,91.0,,130.0,9.0,5221478608,11623,2020
64301,17.0,True,2.0,67.0,0.0,37.0,58.0,5268643784,11533,2020
82590,6.0,False,2.0,91.0,,130.0,47.0,5293033215,10884,2020
220,3.0,False,3.0,6.0,,130.0,10.0,5178453323,11099,2020
24390,11.0,False,2.0,82.0,,130.0,28.0,5223281682,11623,2020
29983,1.0,False,2.0,57.0,,130.0,3.0,5230780293,11155,2020
24378,21.0,True,2.0,114.0,4.0,1.0,5.0,5223275394,10884,2020
42310,11.0,False,3.0,128.0,,130.0,33.0,5238123175,11661,2020
65257,5.0,False,2.0,126.0,,130.0,26.0,5269681437,11478,2020
16812,14.0,False,3.0,72.0,,118.0,25.0,5207988045,11517,2020
35664,11.0,False,3.0,38.0,,126.0,14.0,5232928815,11155,2020
62869,14.0,False,3.0,95.0,,130.0,11.0,5266798663,11688,2020
55990,18.0,True,2.0,57.0,4.0,85.0,34.0,5257122336,11620,2020
20306,11.0,False,2.0,4.0,,73.0,3.0,5215855863,11604,2020
18738,4.0,False,3.0,112.0,,130.0,9.0,5212739459,10884,2020
18620,18.0,True,3.0,33.0,7.0,106.0,36.0,5212596139,10884,2020
68907,7.0,True,3.0,7.0,8.0,110.0,21.0,5275348605,11533,2020
518,15.0,True,3.0,69.0,8.0,109.0,7.0,5179104922,11155,2020
69471,21.0,True,2.0,94.0,3.0,10.0,42.0,5275708727,11657,2020
70743,19.0,False,3.0,57.0,,91.0,34.0,5277035750,10884,2020
31683,8.0,True,2.0,102.0,4.0,130.0,33.0,5231317281,11629,2020
27232,1.0,False,2.0,87.0,,130.0,7.0,5226903843,11419,2020
93008,22.0,True,2.0,49.0,4.0,118.0,19.0,5309049145,11668,2020
57050,2.0,False,2.0,91.0,,130.0,12.0,5258527975,11688,2020
90913,16.0,True,3.0,101.0,9.0,111.0,29.0,5306870017,11370,2020
82968,10.0,True,2.0,10.0,4.0,98.0,67.0,5293332555,11448,2020
49885,10.0,True,2.0,15.0,3.0,113.0,47.0,5249029414,11657,2020
85312,1.0,False,2.0,65.0,,130.0,18.0,5297062182,11668,2020
39623,18.0,True,2.0,49.0,3.0,109.0,46.0,5235557938,11661,2020
7774,15.0,True,2.0,30.0,2.0,130.0,6.0,5192866912,11155,2020
43089,20.0,False,2.0,82.0,,128.0,19.0,5239282548,11629,2020
5569,8.0,True,3.0,107.0,9.0,83.0,82.0,5189528968,11249,2020
88386,6.0,False,2.0,15.0,,130.0,34.0,5302590909,11591,2020
41895,14.0,False,3.0,88.0,,65.0,73.0,5237477621,11661,2020
61988,13.0,False,3.0,65.0,,103.0,8.0,5265251547,11533,2020
13076,18.0,True,2.0,41.0,3.0,102.0,58.0,5201645640,11517,2020
67219,11.0,False,2.0,46.0,,130.0,20.0,5272605599,11533,2020
98672,22.0,True,3.0,95.0,8.0,89.0,32.0,5317275371,11623,2020
17938,18.0,True,3.0,106.0,7.0,104.0,27.0,5211805001,11263,2020
9696,3.0,False,2.0,65.0,,130.0,23.0,5195635710,11592,2020
68197,1.0,False,2.0,87.0,,130.0,19.0,5274069398,11533,2020
12880,20.0,False,2.0,13.0,,29.0,14.0,5201148557,11382,2020
44202,11.0,False,2.0,98.0,,109.0,4.0,5240531516,11661,2020
89913,6.0,False,3.0,98.0,,130.0,1.0,5305239870,11736,2020
76480,9.0,True,3.0,93.0,8.0,130.0,6.0,5285315012,11382,2020
83703,19.0,False,2.0,76.0,,58.0,14.0,5294099316,11468,2020
33035,19.0,False,2.0,34.0,,31.0,89.0,5231541344,11629,2020
56194,3.0,False,2.0,93.0,,130.0,3.0,5257313332,11478,2020
16224,20.0,False,2.0,46.0,,5.0,29.0,5207013770,11602,2020
74648,2.0,False,3.0,66.0,,130.0,5.0,5282629148,11620,2020
17781,15.0,True,3.0,97.0,7.0,130.0,2.0,5210909104,11517,2020
61621,20.0,False,3.0,52.0,,27.0,60.0,5264957081,11688,2020
74798,20.0,False,2.0,47.0,,22.0,25.0,5282724902,10884,2020
71717,3.0,False,2.0,13.0,,130.0,38.0,5278109704,11694,2020
92361,12.0,True,2.0,8.0,1.0,87.0,63.0,5308547149,10884,2020
85620,1.0,False,2.0,88.0,,130.0,22.0,5297345877,11613,2020
70742,18.0,True,2.0,59.0,0.0,19.0,38.0,5277035750,10884,2020
4094,7.0,True,2.0,97.0,1.0,130.0,36.0,5186916957,11249,2020
93612,22.0,True,3.0,12.0,7.0,130.0,4.0,5309692337,11249,2020
24511,22.0,True,3.0,46.0,6.0,2.0,36.0,5223345526,10884,2020
76286,13.0,False,2.0,98.0,,116.0,34.0,5285009230,11717,2020
25012,17.0,True,3.0,95.0,7.0,69.0,77.0,5223759461,10884,2020
73099,13.0,False,2.0,4.0,,89.0,48.0,5280447991,10884,2020
92690,11.0,True,2.0,91.0,3.0,100.0,1.0,5308802342,11448,2020
74462,14.0,False,2.0,41.0,,130.0,16.0,5282139026,11657,2020
6580,9.0,True,3.0,101.0,9.0,121.0,5.0,5190959835,11533,2020
11164,20.0,False,2.0,59.0,,38.0,45.0,5198215403,11592,2020
27491,18.0,True,2.0,129.0,2.0,27.0,65.0,5227169931,11419,2020
96033,1.0,False,2.0,65.0,,130.0,41.0,5312984175,11806,2020
63870,4.0,False,2.0,76.0,,130.0,6.0,5268047523,11181,2020
22372,13.0,False,3.0,89.0,,128.0,80.0,5220660188,11591,2020
89512,11.0,True,3.0,16.0,5.0,120.0,2.0,5304644686,11370,2020
13613,5.0,False,2.0,87.0,,130.0,29.0,5202170075,11620,2020
68266,4.0,False,2.0,128.0,,130.0,7.0,5274102337,11263,2020
