no,match_id,barracks_status_dire,barracks_status_radiant,cluster,dire_score,duration,engine,first_blood_time,game_mode,human_players,leagueid,lobby_type,match_seq_num,negative_votes,positive_votes,radiant_score,radiant_win,start_date_time,tower_status_dire,tower_status_radiant,version,replay_salt,series_id,series_type,patch,region,throw,loss,comeback,stomp,replay_url,dire_team_id,radiant_team_id,data_year,pre_game_duration,flags,radiant_logo,radiant_team_complete,dire_logo,dire_team_complete,radiant_captain,dire_captain,average_rank
22421,6899975757,'00110011','00111111',274,19,1616,1,371,2,10,14664,1,5784281626,0.0,0.0,26,True,2022-12-03 21:38:43,'0000011111000100','0000011100111111',21.0,511074548.0,729629.0,1.0,51,3.0,5083.0,6259.0,,,http://replay274.valve.net/570/6899975757_511074548.dem.bz2,,,2022,,,,,,,,,
16731,7238956330,'00110011','00111111',273,25,1735,1,11,2,10,15257,1,6087538365,0.0,0.0,32,True,2023-07-12 16:09:05,'0000000111000100','0000011110110110',21.0,661934882.0,791499.0,1.0,52,3.0,6839.0,6991.0,,,http://replay273.valve.net/570/7238956330_661934882.dem.bz2,,,2023,,,,,,,,,
10703,7135913848,'00110011','00111111',273,4,1612,1,0,2,10,15251,1,5995315774,0.0,0.0,28,True,2023-05-02 15:00:06,'0000011100000100','0000011110111110',21.0,1948714476.0,773982.0,1.0,52,3.0,-492.0,17684.0,,,http://replay273.valve.net/570/7135913848_1948714476.dem.bz2,,,2023,,,,,,,,,
2356,7552582796,'00000010','00111111',183,21,2118,1,83,2,10,16140,1,6359321895,,,39,True,2024-01-24 15:06:24,'0000011000000000','0000011110111111',21.0,1580735583.0,,,54,8.0,-294.0,34299.0,,,http://replay183.valve.net/570/7552582796_1580735583.dem.bz2,9246005.0,,2024,90.0,4.0,,,2.3064730782673725e+18,0.0,1041276674.0,169365421.0,
100,6358672402,'00111111','00111111',274,25,2232,1,203,2,10,13796,1,5314675375,0.0,0.0,39,True,2022-01-04 10:26:54,'0000011111100000','0000011100110111',21.0,1201465921.0,630094.0,1.0,49,3.0,0.0,8933.0,,,http://replay274.valve.net/570/6358672402_1201465921.dem.bz2,,,2022,,,,,,,,,
5015,5333914101,'00110011','00111111',132,5,1154,1,0,2,10,11829,1,4473643008,0.0,0.0,41,True,4/4/20 15:08,'0000011110000100','0000011111111111',21.0,1643020243.0,0.0,0.0,44,3.0,,,,,http://replay132.valve.net/570/5333914101_1643020243.dem.bz2,,,2020,,,,,,,,,
14619,5556581404,'00000011','00111111',151,15,1863,1,0,2,10,12222,1,4662913269,0.0,0.0,28,True,7/8/20 12:52,'0000000000000110','0000011110110110',21.0,614800064.0,469826.0,1.0,46,5.0,,,,,http://replay151.valve.net/570/5556581404_614800064.dem.bz2,,,2020,,,,,,,,,
25271,7416517318,'00111111','00110011',181,50,1255,1,0,2,10,14915,1,6242147622,,,23,False,2023-11-03 22:56:22,'0000011111110110','0000000100000110',,1175342478.0,821905.0,1.0,53,8.0,,,-412.0,13903.0,http://replay181.valve.net/570/7416517318_1175342478.dem.bz2,,,2023,,,,,,,,,
26887,7443608356,'00110011','00111111',274,12,1400,1,40,2,10,14915,1,6262668680,,,47,True,2023-11-17 13:32:47,'0000000100000110','0000011110111110',21.0,653239477.0,826691.0,1.0,53,3.0,0.0,21884.0,,,http://replay274.valve.net/570/7443608356_653239477.dem.bz2,,,2023,,,,,,,,,
17892,5650959427,'00111111','00110011',236,24,1238,1,49,2,10,11263,1,4748878496,0.0,0.0,19,False,10/10/20 11:34,'0000011110110110','0000000110000110',21.0,1279327053.0,488312.0,1.0,46,13.0,,,16.0,8478.0,http://replay236.wmsj.cn/570/5650959427_1279327053.dem.bz2,,,2020,,,,,,,,,
