no,minute,gold,match_id,leagueid,data_year
130532,26,19884.0,5292591725,10884,2020
174902,26,-3031.0,5337461904,11461,2020
199060,26,-5498.0,5358718010,11249,2020
167290,5,568.0,5330956510,11807,2020
136354,33,-5032.0,5298733739,11668,2020
132751,22,-3238.0,5294291754,11736,2020
115927,2,-418.0,5280054318,10884,2020
140839,28,648.0,5304397677,11668,2020
126413,24,-3976.0,5289083965,11741,2020
128215,3,-649.0,5290444785,11741,2020
108354,18,214.0,5274016248,11263,2020
156603,34,4394.0,5319761016,10884,2020
175686,6,1221.0,5337933537,11806,2020
154614,18,-1415.0,5317786952,10884,2020
120321,5,1411.0,5284461119,11263,2020
178323,28,1737.0,5340057655,11807,2020
199860,14,-1461.0,5359123149,11668,2020
115014,19,-2197.0,5279144621,11382,2020
178404,29,2694.0,5340078426,11263,2020
103328,12,648.0,5269449406,11382,2020
112606,5,-380.0,5277042479,11533,2020
199982,1,0.0,5359231642,11928,2020
164874,15,-4781.0,5328855417,11382,2020
164961,29,6243.0,5328873000,11807,2020
181419,14,-2547.0,5343535332,11382,2020
108146,40,-239.0,5273863037,11263,2020
191711,21,-1681.0,5352533744,11382,2020
123986,10,-1899.0,5286974327,11719,2020
155337,5,257.0,5318627339,11806,2020
190328,44,13366.0,5350717555,11806,2020
189887,15,1480.0,5350534946,11863,2020
107790,19,2237.0,5273408205,11719,2020
177869,16,481.0,5339905231,11807,2020
139729,17,4891.0,5302653893,11591,2020
154795,29,-6693.0,5317924689,11604,2020
169724,17,-4273.0,5333913614,11829,2020
152403,24,-6815.0,5314969523,11694,2020
161875,20,-3744.0,5325668658,11823,2020
194012,18,14936.0,5354464581,11834,2020
109568,11,-2837.0,5275357782,11620,2020
196370,11,-1502.0,5355931343,11877,2020
123371,3,717.0,5286449598,11382,2020
150302,16,7516.0,5312719695,11806,2020
100884,1,0.0,5267649446,11694,2020
122049,9,-249.0,5285690950,11741,2020
118312,14,-813.0,5282576545,10884,2020
199448,26,6944.0,5358928970,11834,2020
152692,26,-5670.0,5315654479,11683,2020
195115,6,-631.0,5355008280,11099,2020
177210,10,-1488.0,5339650272,11834,2020
182086,31,-7980.0,5343866712,11263,2020
102562,22,-3025.0,5268853814,11533,2020
192786,10,-479.0,5353054308,11823,2020
147720,5,11.0,5310535877,11806,2020
190575,5,58.0,5350955410,11370,2020
163803,38,-9727.0,5327491576,11800,2020
151926,19,3445.0,5314594127,11591,2020
112809,29,-12591.0,5277098266,10884,2020
109970,33,-8074.0,5275533357,11263,2020
195947,23,16381.0,5355562494,11827,2020
155260,15,2840.0,5318478445,11382,2020
134733,19,-1105.0,5296911710,10884,2020
124079,34,-8071.0,5287034269,11741,2020
136164,30,-2591.0,5297943950,11736,2020
140483,11,2552.0,5303420814,11736,2020
143515,12,220.0,5307040222,11249,2020
169265,31,22072.0,5333564102,11717,2020
170103,16,4234.0,5333955186,11823,2020
149650,50,4574.0,5312333934,10884,2020
145579,19,4757.0,5308735186,11806,2020
169293,3,1043.0,5333757576,11800,2020
115020,25,1801.0,5279144621,11382,2020
177510,3,-461.0,5339787694,11263,2020
131024,11,-1185.0,5293142596,10884,2020
196099,23,-13834.0,5355680319,11827,2020
177868,15,1121.0,5339905231,11807,2020
149872,10,-8.0,5312463203,11668,2020
146993,22,6425.0,5309768897,11439,2020
162571,51,9191.0,5326872901,11823,2020
119752,22,11418.0,5283802592,11719,2020
197117,15,-7395.0,5356806965,11099,2020
199776,32,-21145.0,5359039548,11828,2020
189423,5,-374.0,5350245231,11461,2020
154677,2,430.0,5317800374,11604,2020
155986,6,-61.0,5319173021,10884,2020
130814,12,1664.0,5293033215,10884,2020
141744,21,-4107.0,5305106165,11249,2020
173293,19,6202.0,5336244800,11829,2020
179096,7,-1939.0,5341296035,11382,2020
160959,2,-111.0,5324964403,11806,2020
193214,25,3080.0,5353251610,11735,2020
198051,6,-141.0,5357322995,11263,2020
195184,28,9640.0,5355019933,11263,2020
100741,25,6231.0,5267411413,11623,2020
154861,6,460.0,5317991437,11604,2020
126162,32,3890.0,5288811269,11736,2020
149742,6,1914.0,5312438527,11806,2020
194848,47,1315.0,5354862800,11863,2020
148246,22,-9722.0,5310823816,11448,2020
178159,11,2396.0,5340007769,11263,2020
129585,2,-648.0,5291579074,11249,2020
194568,4,-1888.0,5354770091,11382,2020
142896,38,-5147.0,5306595300,10884,2020
166519,19,4931.0,5330001237,11823,2020
163531,26,3089.0,5327295768,11823,2020
157371,3,46.0,5320982536,11823,2020
146570,9,-1084.0,5309425700,11694,2020
114636,24,-3790.0,5278812377,11263,2020
120569,39,-1162.0,5284590031,11717,2020
142366,15,1660.0,5305849844,10884,2020
166718,30,-11175.0,5330375241,11823,2020
100699,34,2779.0,5267401643,10884,2020
198190,37,-10173.0,5357468397,11836,2020
160008,12,-994.0,5323324508,11806,2020
133591,1,0.0,5295242366,11591,2020
154319,11,-897.0,5317334514,11249,2020
186374,16,-7294.0,5347061684,11827,2020
154026,9,1335.0,5316845392,11249,2020
109289,4,1385.0,5274998033,11694,2020
177439,23,3378.0,5339744787,11834,2020
141663,20,-4438.0,5304933213,11249,2020
115619,14,-8504.0,5279690749,11700,2020
178011,29,3348.0,5339939228,11834,2020
159908,13,-3467.0,5323228622,11263,2020
124686,23,-3460.0,5287299610,11741,2020
161369,24,2369.0,5325217066,11263,2020
180601,21,198.0,5342150724,11735,2020
174573,13,2596.0,5336990725,11829,2020
196036,28,-2591.0,5355674634,11623,2020
139048,16,7008.0,5301778514,11773,2020
105015,38,-4509.0,5270647431,11533,2020
114619,7,-784.0,5278812377,11263,2020
189141,24,-2418.0,5349894718,11863,2020
190757,6,-31.0,5350989014,11478,2020
117892,3,-646.0,5281928086,11478,2020
147231,28,-1860.0,5310053353,11694,2020
189526,24,4949.0,5350303820,11382,2020
101810,13,1421.0,5268365376,10884,2020
123020,33,229.0,5286128412,11263,2020
164301,30,2734.0,5328053787,11823,2020
182590,22,5629.0,5344083325,11370,2020
100220,6,292.0,5267028674,11382,2020
124390,17,2619.0,5287199969,11683,2020
129983,36,-14519.0,5292043979,10884,2020
124378,5,689.0,5287199969,11683,2020
142310,10,868.0,5305821531,10884,2020
165257,8,-1804.0,5328996176,11823,2020
116812,29,59.0,5280974602,11620,2020
135664,18,3888.0,5297462705,11591,2020
162869,18,-5703.0,5326991410,11382,2020
155990,10,-1148.0,5319173021,10884,2020
120306,29,-11537.0,5284460432,10884,2020
118738,51,3778.0,5282727398,11620,2020
118620,15,-3767.0,5282700010,11263,2020
168907,28,-9171.0,5332488968,11823,2020
100518,23,1847.0,5267264062,11382,2020
169471,20,-5924.0,5333908745,11829,2020
170743,7,2320.0,5334198496,11829,2020
131683,9,824.0,5293537976,11249,2020
127232,2,-22.0,5289490068,11668,2020
193008,23,3031.0,5353117897,11099,2020
157050,13,4225.0,5320633500,11370,2020
190913,21,-3020.0,5351122681,11823,2020
182968,17,9211.0,5344726478,11735,2020
149885,23,-2860.0,5312463203,11668,2020
185312,5,-2705.0,5346642216,11829,2020
139623,12,-4250.0,5302590909,11591,2020
107774,3,528.0,5273408205,11719,2020
143089,7,21.0,5306712902,11668,2020
105569,14,4918.0,5271215626,11719,2020
188386,16,4140.0,5348878328,11800,2020
141895,6,778.0,5305242584,10884,2020
161988,7,636.0,5326033555,11823,2020
113076,19,-378.0,5277226212,11657,2020
167219,8,3395.0,5330909384,11382,2020
198672,44,-13110.0,5358385157,11863,2020
117938,31,710.0,5281968179,11657,2020
109696,49,7933.0,5275402073,11263,2020
168197,17,-10999.0,5331496009,11823,2020
112880,44,713.0,5277144387,11620,2020
144202,41,5330.0,5307670528,11439,2020
189913,9,-999.0,5350536046,11461,2020
176480,16,1297.0,5339331500,11382,2020
183703,12,4067.0,5345775564,11382,2020
133035,14,-7368.0,5294488705,10884,2020
156194,6,-85.0,5319301386,10884,2020
116224,44,-26203.0,5280447991,10884,2020
174648,10,666.0,5337305588,11382,2020
117781,29,10725.0,5281733064,11694,2020
161621,30,1741.0,5325376616,11806,2020
174798,24,1091.0,5337414410,11382,2020
171717,24,-19695.0,5335314927,11807,2020
192361,18,-2491.0,5352842484,11263,2020
185620,9,305.0,5346687416,11829,2020
170742,6,2628.0,5334198496,11829,2020
104094,7,1606.0,5270027595,11694,2020
193612,42,3246.0,5353861756,11623,2020
124511,28,9469.0,5287219496,11719,2020
176286,4,-305.0,5338796108,11823,2020
125012,22,5618.0,5287590412,11741,2020
173099,16,6712.0,5336238774,11829,2020
192690,12,-1265.0,5352996002,11099,2020
174462,5,163.0,5336859376,11829,2020
106580,6,604.0,5272364171,11613,2020
111164,32,8198.0,5276033364,11382,2020
127491,24,-1598.0,5289627807,11448,2020
196033,25,-1131.0,5355674634,11623,2020
163870,11,698.0,5327562787,11823,2020
122372,28,-2740.0,5285878699,11604,2020
189512,10,2925.0,5350303820,11382,2020
113613,24,2148.0,5277544449,11700,2020
168266,7,137.0,5331557842,11263,2020
148418,24,-2762.0,5310892116,11806,2020
154494,13,866.0,5317635829,11604,2020
124480,30,-4585.0,5287215270,11741,2020
168827,25,6574.0,5332298011,11800,2020
114070,4,200.0,5278034012,11657,2020
196881,21,-4951.0,5356648492,11834,2020
125236,5,-593.0,5287864643,11263,2020
164063,37,-4246.0,5327774687,11800,2020
153255,17,-1433.0,5316258147,11668,2020
121041,26,1588.0,5284903647,11382,2020
119867,32,-388.0,5284272648,10884,2020
132824,21,665.0,5294309070,10884,2020
178373,31,-4520.0,5340065466,11099,2020
165842,14,880.0,5329349946,11823,2020
178162,14,3873.0,5340007769,11263,2020
115213,29,15292.0,5279251413,11620,2020
124272,17,1083.0,5287148154,11736,2020
199251,56,-8955.0,5358800189,11863,2020
118263,24,9007.0,5282506775,10884,2020
115965,40,-12353.0,5280054318,10884,2020
135413,12,-873.0,5297302456,11249,2020
104510,4,743.0,5270438909,11263,2020
100182,27,-812.0,5266953291,11382,2020
153113,39,-6754.0,5316200228,11668,2020
137385,21,4097.0,5299742963,11773,2020
113740,3,-539.0,5277678869,11694,2020
175017,22,3677.0,5337538608,11807,2020
122957,3,389.0,5286074942,11263,2020
145765,15,1685.0,5308846416,11591,2020
151056,28,17963.0,5313543712,11798,2020
140242,17,4562.0,5303061332,11773,2020
164265,38,-21048.0,5328045277,11800,2020
102107,29,4396.0,5268553780,11263,2020
198742,5,899.0,5358516152,11863,2020
195704,21,230.0,5355259221,11735,2020
122625,18,782.0,5285950593,10884,2020
109975,2,-152.0,5275541372,11533,2020
173117,12,-1567.0,5336238973,11829,2020
