no,time,type,slot,key,player_slot,value,killer,team,unit,match_id,leagueid,data_year
79847,2075.0,building_kill,3.0,npc_dota_badguys_tower3_bot,3.0,,,,npc_dota_hero_void_spirit,5911183098,12906,2021
148389,1859.0,building_kill,4.0,npc_dota_badguys_melee_rax_top,4.0,,,,npc_dota_hero_dragon_knight,6045765894,13131,2021
116226,283.0,CHAT_MESSAGE_FIRSTBLOOD,5.0,4,128.0,,,,,5982021923,13119,2021
74728,2080.0,building_kill,4.0,npc_dota_badguys_range_rax_top,4.0,,,,npc_dota_hero_death_prophet,5894873238,11863,2021
141868,2177.0,building_kill,7.0,npc_dota_goodguys_range_rax_bot,130.0,,,,npc_dota_hero_templar_assassin,6026574176,12964,2021
65969,1098.0,building_kill,5.0,npc_dota_goodguys_tower2_top,128.0,,,,npc_dota_hero_juggernaut,5876118250,12881,2021
120622,1331.0,CHAT_MESSAGE_AEGIS,4.0,,4.0,,,,,5989118719,13112,2021
100774,752.0,building_kill,2.0,npc_dota_badguys_tower1_mid,2.0,,,,npc_dota_hero_medusa,5956139947,13114,2021
106850,1126.0,building_kill,5.0,npc_dota_goodguys_tower1_mid,128.0,,,,npc_dota_hero_tiny,5963697782,13102,2021
76836,1116.0,CHAT_MESSAGE_AEGIS,8.0,,131.0,,,,,5900911025,11863,2021
121183,921.0,CHAT_MESSAGE_AEGIS,4.0,,4.0,,,,,5990225534,13107,2021
66426,1184.0,building_kill,8.0,npc_dota_goodguys_tower2_bot,131.0,,,,npc_dota_hero_monkey_king,5876502811,12846,2021
149237,1381.0,building_kill,4.0,npc_dota_badguys_tower1_bot,4.0,,,,npc_dota_hero_faceless_void,6047953453,13269,2021
77592,1400.0,CHAT_MESSAGE_AEGIS,2.0,,2.0,,,,,5903163454,12780,2021
116419,1653.0,building_kill,7.0,npc_dota_goodguys_tower2_mid,130.0,,,,npc_dota_hero_life_stealer,5982440401,13084,2021
105611,1268.0,CHAT_MESSAGE_ROSHAN_KILL,,,,,,2.0,,5962375301,13102,2021
73397,1783.0,building_kill,,npc_dota_goodguys_tower1_mid,,,,,npc_dota_creep_badguys_melee,5891870096,12780,2021
72223,1244.0,CHAT_MESSAGE_ROSHAN_KILL,,,,,,3.0,,5889629310,11912,2021
85180,1588.0,building_kill,3.0,npc_dota_badguys_tower2_bot,3.0,,,,npc_dota_hero_morphling,5925943628,12986,2021
130729,1413.0,building_kill,,npc_dota_goodguys_tower2_bot,,,,,npc_dota_creep_badguys_melee,6004055926,13150,2021
118198,1641.0,building_kill,,npc_dota_goodguys_tower1_top,,,,,npc_dota_creep_badguys_ranged,5984819094,13150,2021
130518,2390.0,building_kill,,npc_dota_badguys_fort,,,,,dota_unknown,6003926458,13043,2021
67569,746.0,building_kill,5.0,npc_dota_goodguys_tower1_bot,128.0,,,,npc_dota_hero_death_prophet,5878427528,12917,2021
76628,-34.0,CHAT_MESSAGE_FIRSTBLOOD,5.0,2,128.0,,,,,5899998011,12093,2021
151607,1463.0,building_kill,7.0,npc_dota_goodguys_tower2_top,130.0,,,,npc_dota_hero_sven,6054530980,13131,2021
