no,minute,exp,match_id,leagueid,data_year
153255,17,-2717.0,5316258147,11668,2020
121041,26,-5522.0,5284903647,11382,2020
119867,32,-4010.0,5284272648,10884,2020
132824,21,3351.0,5294309070,10884,2020
178373,31,-9174.0,5340065466,11099,2020
165842,14,3733.0,5329349946,11823,2020
178162,14,2096.0,5340007769,11263,2020
115213,29,23328.0,5279251413,11620,2020
124272,17,883.0,5287148154,11736,2020
199251,56,-24743.0,5358800189,11863,2020
118263,24,15042.0,5282506775,10884,2020
115965,40,-23377.0,5280054318,10884,2020
135413,12,1457.0,5297302456,11249,2020
104510,4,175.0,5270438909,11263,2020
100182,27,-2448.0,5266953291,11382,2020
153113,39,-11096.0,5316200228,11668,2020
137385,21,2148.0,5299742963,11773,2020
113740,3,-551.0,5277678869,11694,2020
175017,22,88.0,5337538608,11807,2020
122957,3,-15.0,5286074942,11263,2020
145765,15,-1212.0,5308846416,11591,2020
151056,28,22009.0,5313543712,11798,2020
140242,17,5035.0,5303061332,11773,2020
164265,38,-12996.0,5328045277,11800,2020
102107,29,7059.0,5268553780,11263,2020
198742,5,621.0,5358516152,11863,2020
195704,21,2473.0,5355259221,11735,2020
122625,18,-1024.0,5285950593,10884,2020
109975,2,-68.0,5275541372,11533,2020
173117,12,-1347.0,5336238973,11829,2020
168879,44,47720.0,5332390057,11800,2020
133740,18,-3850.0,5295310079,11591,2020
181255,12,269.0,5343467499,11834,2020
113876,8,146.0,5277775065,11382,2020
161219,22,6644.0,5325071615,11099,2020
155202,12,-2519.0,5318411865,11382,2020
145769,19,-3634.0,5308846416,11591,2020
296275,27,6700.0,5417748137,11668,2020
222712,10,544.0,5374503649,11836,2020
231942,11,4106.0,5380584274,11829,2020
287283,23,-10742.0,5413869752,11912,2020
213342,18,-6251.0,5366665412,11829,2020
291812,27,2780.0,5415390625,12036,2020
284358,46,11747.0,5412506235,11953,2020
293377,23,3194.0,5416155802,11964,2020
299636,33,-3704.0,5419871832,11973,2020
281536,1,0.0,5411036563,12008,2020
242728,20,-6151.0,5387673377,11947,2020
271273,22,-2474.0,5405878958,11027,2020
254304,30,-12943.0,5395658236,11975,2020
291355,21,7508.0,5415198171,11439,2020
201249,2,57.0,5359992382,11823,2020
258497,34,12249.0,5398330024,11953,2020
222096,40,-9442.0,5373757617,11898,2020
232906,19,1837.0,5380822044,11863,2020
247040,34,14259.0,5390662825,11864,2020
291207,52,-31628.0,5415121143,11999,2020
244077,29,2498.0,5388585777,11829,2020
231048,26,7775.0,5380172406,11478,2020
224191,3,381.0,5375604431,11863,2020
211968,20,-9231.0,5366155937,11880,2020
210443,31,13781.0,5365459970,11370,2020
241072,25,6537.0,5386795627,11829,2020
275565,20,15893.0,5407706477,11780,2020
230537,30,-11323.0,5379937320,11887,2020
285719,19,3756.0,5412846413,11898,2020
260710,30,10259.0,5399964055,11898,2020
222545,27,11137.0,5374297953,11877,2020
212829,25,15420.0,5366483234,11829,2020
232106,12,-1936.0,5380586294,11829,2020
240830,27,-591.0,5386593849,11829,2020
267926,11,0.0,5404648756,12027,2020
206602,10,-3220.0,5363083590,11887,2020
200592,21,-18156.0,5359697217,11439,2020
210415,3,-67.0,5365459970,11370,2020
266996,29,22798.0,5404261360,11831,2020
225913,21,-12021.0,5377033063,11864,2020
285207,14,-2963.0,5412722103,11953,2020
296808,46,-4815.0,5418032693,11964,2020
241561,13,-2212.0,5387035212,11831,2020
230532,25,-8720.0,5379937320,11887,2020
274902,26,5072.0,5407591545,11464,2020
299060,22,-2205.0,5419466896,11912,2020
267290,15,9180.0,5404631259,12027,2020
236354,24,4222.0,5383791774,11828,2020
232751,34,-28998.0,5380764170,11829,2020
215927,37,-582.0,5368369601,11877,2020
240839,36,-21058.0,5386593849,11829,2020
226413,2,-123.0,5377435044,11887,2020
228215,6,-87.0,5378453025,11829,2020
208354,18,148.0,5363993015,11829,2020
256603,4,-433.0,5397491284,11792,2020
275686,45,24707.0,5407736020,12027,2020
254614,30,30223.0,5395803327,11099,2020
