no,match_id,leagueid,key,value,data_year
231942,5356992658,11823,10162,1,2020
287283,5383983043,11828,10192,2,2020
213342,5346190575,11823,8268,132,2020
291812,5386103911,11829,10162,132,2020
284358,5382067809,11099,8779,1,2020
293377,5386938435,11921,7823,131,2020
299636,5389903991,11792,12484,2,2020
281536,5380723711,11836,9637,132,2020
242728,5361857992,11829,4566,130,2020
271273,5376544010,2091,647,128,2020
254304,5366594196,11914,11426,132,2020
291355,5385900553,11668,6037,1,2020
201249,5337846591,11823,11426,4,2020
258497,5368840033,11864,13418,128,2020
222096,5350824549,11370,13007,4,2020
232906,5357468397,11836,6140,4,2020
247040,5363920750,11823,13391,129,2020
291207,5385890262,11831,9378,128,2020
244077,5362349819,11829,7205,128,2020
231048,5356515497,11834,5896,129,2020
224191,5352706080,11099,11997,1,2020
211968,5345724367,11461,8072,128,2020
210443,5344078806,11735,7881,0,2020
241072,5361617322,11823,11383,128,2020
275565,5378447374,11829,8021,130,2020
230537,5355931343,11877,8797,128,2020
285719,5382690577,11829,11426,2,2020
260710,5369979675,11099,10167,132,2020
222545,5350982687,11478,13281,4,2020
212829,5345988528,11834,9247,131,2020
232106,5357061707,11099,7439,0,2020
240830,5361512124,11439,13382,3,2020
267926,5374625335,11864,12947,129,2020
206602,5341604139,11806,11889,130,2020
200592,5337549213,11461,7026,0,2020
210415,5344063253,11806,13267,130,2020
266996,5373757617,11898,9197,2,2020
225913,5353173471,11263,12947,0,2020
285207,5382419171,11831,7424,131,2020
296808,5388450793,11947,13474,131,2020
241561,5361699059,11829,6762,3,2020
230532,5355931343,11877,8070,4,2020
274902,5378427150,11831,6282,129,2020
299060,5389736389,11966,10068,130,2020
267290,5374117935,11831,12939,1,2020
236354,5359679205,11439,10653,130,2020
232751,5357346528,11823,4172,132,2020
215927,5346919142,11829,12947,1,2020
240839,5361519141,11836,6444,128,2020
226413,5353662692,11623,11903,1,2020
228215,5354862228,11099,10147,131,2020
208354,5342654505,11800,9767,0,2020
256603,5367691877,11828,8238,2,2020
275686,5378462047,11829,13534,0,2020
254614,5366642401,11823,8933,128,2020
220321,5350109110,11834,6660,3,2020
278323,5379786893,11887,647,3,2020
299860,5390036555,11836,6792,2,2020
215014,5346653599,11829,10041,129,2020
278404,5379823961,11863,9156,2,2020
203328,5339650852,11806,9742,128,2020
212606,5345932806,11806,8892,131,2020
299982,5390064826,11829,5820,3,2020
264874,5372973096,11864,13090,128,2020
264961,5373031783,11864,9698,131,2020
281419,5380696753,11829,6403,128,2020
208146,5342351344,11823,11965,3,2020
291711,5386073854,11898,9450,130,2020
223986,5352638019,11863,9150,3,2020
255337,5366916797,11914,5468,129,2020
290328,5385561850,11792,4574,4,2020
289887,5384977647,11913,12324,3,2020
207790,5342047532,11806,7459,2,2020
277869,5379570426,11898,8532,0,2020
239729,5361102367,11834,12320,132,2020
254795,5366710629,11864,6020,3,2020
269724,5375596132,11828,13344,132,2020
252403,5366144770,11717,13247,0,2020
261875,5370792960,11877,7813,4,2020
294012,5387081930,11864,10007,2,2020
209568,5343728255,11461,10025,129,2020
296370,5388222178,11836,9682,0,2020
223371,5351581161,11823,12931,129,2020
250302,5365331912,11887,7754,131,2020
200884,5337658823,11806,16677,1,2020
222049,5350824549,11370,7576,2,2020
218312,5348372732,11863,12866,130,2020
299448,5389846447,11829,10007,131,2020
252692,5366250782,11478,4450,129,2020
295115,5387662185,11792,9699,129,2020
277210,5378910186,11864,8461,3,2020
282086,5380824851,11947,7867,129,2020
202562,5339404531,11807,11143,132,2020
292786,5386769469,11921,4693,129,2020
247720,5364025569,11829,10296,0,2020
290575,5385663484,11828,13498,130,2020
263803,5371841298,11668,7336,4,2020
251926,5365934709,11780,10069,128,2020
212809,5345988528,11834,4579,128,2020
209970,5343913028,11461,9303,132,2020
295947,5387943131,11836,6282,0,2020
255260,5366891298,11864,9239,0,2020
234733,5358983692,11806,7741,131,2020
224079,5352653787,11806,8061,129,2020
236164,5359637778,11823,13538,132,2020
240483,5361376731,11806,7814,2,2020
243515,5362097928,11829,5810,2,2020
269265,5375459051,11898,7875,3,2020
270103,5375739084,11668,5508,130,2020
249650,5364628405,11829,12322,4,2020
245579,5363191562,11668,10147,1,2020
269293,5375459051,11898,10456,130,2020
215020,5346653599,11829,11771,0,2020
277510,5379098445,11829,9064,129,2020
231024,5356428601,11863,12800,128,2020
296099,5387986163,11829,6492,4,2020
277868,5379570426,11898,8531,0,2020
249872,5364790738,11863,7293,130,2020
246993,5363920750,11823,8060,131,2020
262571,5371283015,11898,10167,131,2020
219752,5349633138,11863,647,131,2020
297117,5388669176,11913,6348,132,2020
299776,5389969556,11382,10068,132,2020
289423,5384809730,11864,12957,128,2020
254677,5366665412,11829,9235,128,2020
