no,match_id,leagueid,radiant.team_id,radiant.name,radiant.tag,radiant.logo_url,dire.team_id,dire.name,dire.tag,dire.logo_url,data_year
15927,5590126339,12205,7855913,Nebula,Nebula,https://steamusercontent-a.akamaihd.net/ugc/1759188059591077829/54DE208988419002B17CCF7EE38ECF9477293295/,8062461,YOUR SOUL IS MINE,ysiM,https://steamusercontent-a.akamaihd.net/ugc/1764817883957607834/170EC46F1B082767D89B26DAEA761B42FC4E045B/,2020
2107,6429306477,13894,8525778,Polaris Esports,Polaris,https://steamusercontent-a.akamaihd.net/ugc/1831290045925630948/400C4E5FD779D964D9BEC5E44D414073ADC03790/,8360138,Neon Esports,neon,https://steamusercontent-a.akamaihd.net/ugc/1905612771137210708/67688ED3000B1B2140DCDD96275E114F3F9F3BC7/,2022
4095,5930209486,12929,8204512,Neptune Gaming,NG,https://steamusercontent-a.akamaihd.net/ugc/1856041839331632619/2BEAA9EAB2E127CFE87C149A88C4F07548E65685/,6209804,Antarctic Penguins,AP,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/6209804.png,2021
5897,5995624860,13110,5055770,Gorillaz-Pride,G-pride,https://steamusercontent-a.akamaihd.net/ugc/934927864604413601/D9FF391286B256016F320077FC6B4BEC594FF774/,8186683,Latam Defenders,DEF,https://steamusercontent-a.akamaihd.net/ugc/1672485758211517471/6FF829A46A64CABABEBB03E71082AE4CB1A1BEEC/,2021
8354,5410053115,12012,6685591,ViKin.gg,Vikin.gg,https://steamusercontent-a.akamaihd.net/ugc/1628571207900914834/9A093A05B2DDED488984470F0FADEFDE1F5EDE9F/,6740284,TEAM HEROIC,Heroic,https://steamusercontent-a.akamaihd.net/ugc/1009313408643011645/491DBA41E0D80D9ACF0388351D31484D9E3FFCB6/,2020
17871,6779976877,14373,8629327,Sworn Die,Sd,https://steamusercontent-a.akamaihd.net/ugc/1893228189115135367/7B3DB4DB3D54C15F2647A719B02F0584344C7B55/,2443375,Foxy gaming,Foxy,https://steamusercontent-a.akamaihd.net/ugc/2050873742320252975/AC5A2097BEF04FD6D958B34C8A02A75C445ED58A/,2022
15701,7221503772,15257,8849837,FALL VICTIMS,FV,https://steamusercontent-a.akamaihd.net/ugc/1839182035511443777/DF26E33597EAEB9EBB3F085DA1CA7667E5E11BCB/,9048057,Vitality Warriors,VW,https://steamusercontent-a.akamaihd.net/ugc/2020468497848694467/6A965540C6EAEB062C4D1DC5E02ECC8209AE3D46/,2023
15882,6717236899,14448,8124688,Kylin Esports Club,Kylin,https://steamusercontent-a.akamaihd.net/ugc/2024968930202758261/7E50DBE3E7A238583253C67C2805BF6A0AFF968C/,8360138,Neon Esports,neon,https://steamusercontent-a.akamaihd.net/ugc/1905612771137210708/67688ED3000B1B2140DCDD96275E114F3F9F3BC7/,2022
20321,5708400679,12528,15,PSG.LGD,PSG.LGD,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/15.png,2640025,iG.Vitality,iG.V,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/2640025.png,2020
18338,7263799953,14915,9104067,Rakuzan,Rakuzan,https://steamusercontent-a.akamaihd.net/ugc/2039614074871925398/5F013D18FA3BF8B3AEAB8B9EE8785CAD9CAB80AB/,9005165,Star Foxes,SF,https://steamusercontent-a.akamaihd.net/ugc/2027220095511607538/A6FA8DDA68296D4ED65754301F2C0AEC812321F7/,2023
10058,7693149735,15901,9395676,Shinigami gaming,Shin,https://steamusercontent-a.akamaihd.net/ugc/2518149232230029748/6204E1A0315057E9F227EDBCD42DB8F193B593AF/,8829924,Rabbits of Revenge,RoR,https://steamusercontent-a.akamaihd.net/ugc/1797522561529266178/C451F5F544B99C6AEBC05E004237F7A98253AA79/,2024
15014,5567117840,12239,7408845,Execration,XctN,https://steamusercontent-a.akamaihd.net/ugc/1479947126466883706/805E24B193B5C67C2B505C8808AD7E56DA302273/,7667536,MOTIVADE.TRUST GAMING,MG.Trust,https://steamusercontent-a.akamaihd.net/ugc/770617831430854146/B94ED58DFF2B50B6CE55BBC96514B89CF979BD89/,2020
